name,description,price,original_price,discount,stock,category_id,main_image,additional_image,secondary_image,tertiary_image,quaternary_image
Razer Kishi Ultra,Advanced mobile controller,70000,80000,12.5,10,2,products/razer_RxlxkLA.jpg,products/additional/razer_kishi_ultra2.jpg,products/additional/razer_kishi_ultra3.jpg,products/additional/razer_kishi_ultra4.jpg
ACEZONE A-Rise,A-Rise - Pro Esports ANC Gaming Headset - Noise Cancelling Flip-to-Mute Microphone - Hand Made - Interchangeable Ear Pads - Mobile App - PC - PS4 - PS5 - Xbox - Switch - Steam Deck - Mobile,150000, , ,4,2,products\ACEZONE_A-RISE_1.jpg,products\additional\ACEZONE_A-RISE_2.jpg,products\additional\ACEZONE_A-RISE_3.jpg,products\additional\ACEZONE_A-RISE_4.jpg,products\additional\ACEZONE_A-RISE_5.jpg
Apple Air Tag,[Apple MFi Certified] Pair with Apple Find My (iOS Only) Bluetooth Air Smart Tag Key Finder Item Locator Waterproof Finder Worldwide Tracking for Pet Wallet Backpack Dog Luggage,20000,,,5,8,products\airtag_1.jpg,products\additional\airtag_2.jpg,products\additional\airtag_3.jpg,products\additional\airtag_4.jpg,products\additional\airtag_5.jpg
Anker Charging Base,Anker Charging Base - 100W Fast Charging with 4 Ports Prime Power Bank Prime Power Bank - 27650mAh 3-Port 250W Portable Charger (99.54Wh),100000,,,3,1,products\Anker_charging_base_1.jpg,products\additional\Anker_charging_base_2.jpg,products\additional\Anker_charging_base_3.jpg,products\additional\Anker_charging_base_4.jpg,products\additional\Anker_charging_base_5.jpg
Anker Prime Power Bank,Anker Prime Power Bank 27650mAh 3-Port 250W Portable Charger for Travel TSA-Approved Smart App for MacBook Pro/Air iPhone 16/15/14 Series - Samsung - Laptops - and More (Charging Base Not Included),380000,,,3,1,products\Anker_prime_1.jpg,products\additional\Anker_prime_2.jpg,products\additional\Anker_prime_3.jpg,products\additional\Anker_prime_4.jpg,products\additional\Anker_prime_5.jpg
Anker Prime Charger,Anker Prime Charger 250W GaN Prime USB C Charging Station Ultra-Fast 6-Port 2.26" LCD Display and Smart Control Dial Compatible with MacBook Pro/Air iPhone 16/15/14,150000,,,2,1,products\Anker_prime_charging_sstation_1.jpg,products\additional\Anker_prime_charging_sstation_2.jpg,products\additional\Anker_prime_charging_sstation_3.jpg,products\additional\Anker_prime_charging_sstation_4.jpg,products\additional\Anker_prime_charging_sstation_5.jpg
Anker Prime Charging Station,Anker Prime Charging Station 240W 8-in-1 USB C Power Strip - 5 ft Detachable Extension Cord - 2 AC - 4 USB C - 2 USB A for iPhone 15/14 Desktop Accessory for MacBook - Home Office (Not for Travel),200000,,,2,1,products\Anker_prime_charging_sstation_240w_1.jpg,products\additional\Anker_prime_charging_sstation_240w_2.jpg,products\additional\Anker_prime_charging_sstation_240w_3.jpg,products\additional\Anker_prime_charging_sstation_240w_4.jpg,products\additional\Anker_prime_charging_sstation_240w_5.jpg
Apple 2022 MacBook Air with M2 chip,Apple 2022 MacBook Air with M2 chip - 8 core CPU 10 core GPU 16GB RAM 512GB SSD Storage - Midnight (Z1610005E),1800000,,,1,3,products\apple_2022_1.jpg,products\additional\apple_2022_2.jpg,products\additional\apple_2022_3.jpg,products\additional\apple_2022_4.jpg,products\additional\apple_2022_5.jpg
Apple 4 Pack Air Tracker Tags,4 Pack Air Tracker Tags [Apple MFi Certified] Pair with Apple Find My(iOS Only) Smart Bluetooth Tracking Tags Key Finder Item Locator Waterproof Worldwide Tracker for Pets Wallet Backpack Dogs Luggage,80000,,,2,8,products\apple_air_tag_4_pack_1.jpg,products\additional\apple_air_tag_4_pack_2.jpg,products\additional\apple_air_tag_4_pack_3.jpg,products\additional\apple_air_tag_4_pack_4.jpg,products\additional\apple_air_tag_4_pack_5.jpg
Apple AirPods Max,Apple AirPods Max Wireless Over-Ear Headphones - Active Noise Cancelling - Transparency Mode - Personalized Spatial Audio - Dolby Atmos - Bluetooth Headphones for iPhone – Space Gray,800000,,,3,4,products\apple_airpods_max_1.jpg,products\additional\apple_airpods_max_2.jpg,products\additional\apple_airpods_max_3.jpg,products\additional\apple_airpods_max_4.jpg,products\additional\apple_airpods_max_5.jpg
